ID,Category,Latitude,Longitude
SE-St1,WET,68.35,19.05
SE-Sto,WET,68.36,19.05
RU-Ch2,WET,68.617,161.351
RU-Che,WET,68.613,161.341
US-Los,WET,46.083,-89.979
DE-Zrk,WET,53.876,12.889
US-Myb,WET,38.05,-121.765
US-Sne,WET,38.037,-121.755
US-Tw1,WET,38.107,-121.647
US-Tw4,WET,38.103,-121.641
US-Twt,CRO_RICE,38.109,-121.653
US-Srr,WET,38.201,-122.026
US-WPT,WET,41.465,-82.996
US-CRT,CRO_OTHER,41.628,-83.347
US-OWC,WET,41.38,-82.512
US-NGB,WET,71.28,-156.609
DE-SfN,WET,47.806,11.328
US-Bi2,CRO_OTHER,38.109,-121.535
US-Bi1,CRO_OTHER,38.102,-121.504
US-Beo,WET,71.281,-156.612
US-Bes,WET,71.281,-156.596
US-Brw,WET,71.323,-156.609
US-Atq,WET,70.47,-157.409
US-Ivo,WET,68.486,-155.75
RU-SAM,WET,72.374,126.496
US-Snd,CRO_OTHER,38.037,-121.754
IT-Cas,CRO_RICE,45.07,8.718
US-Ics,WET,68.606,-149.311
YFBsf,ENF,64.7,-148.32
BCFEN,WET,64.704,-148.313
BCBog,WET,64.7,-148.32
CA-SCC,ENF,61.308,-121.299
CASCB,WET,61.309,-121.299
RU-Vrk,WET,67.055,62.94
FI-Sii,WET,61.833,24.193
FI-Si2,WET,61.837,24.17
USBgl,WET,47.53,-93.47
NZ-Kop,WET,-37.388,175.554
US-MRM,WET,40.816,-74.044
US-NC4,WET,35.788,-75.904
USFwm,WET,29.859,-90.287
USBms,WET,29.501,-90.445
US-HRA,CRO_RICE,34.585,-91.752
US-HRC,CRO_RICE,34.589,-91.752
CNHon,GRA,32.8,102.55
MYMLM,WET,1.464,111.149
KR-CRK,CRO_RICE,38.201,127.251
FI-Lom,WET,67.997,24.209
SE-Deg,WET,64.182,19.557
MAERC,CRO_OTHER,27.163,-81.187
